year	month	governorate	event_num	death_est
2018	1	Aden	1	38
2018	1	Al Bayda	1	4
2018	1	Al Dhale'e	5	122
2018	1	Al Hudaydah	5	111
2018	1	Ibb	1	1
2018	1	Marib	1	3
2018	1	Sana'a	8	28
2018	1	Shabwah	2	13
2018	1	NA	14	119
2018	2	Aden	1	14
2018	2	Al Bayda	3	37
2018	2	Al Dhale'e	5	11
2018	2	Al Hudaydah	3	102
2018	2	Amanat Al Asimah	1	8
2018	2	Amran	1	6
2018	2	Ibb	1	5
2018	2	Marib	1	5
2018	2	Sana'a	4	12
2018	2	NA	8	59
2018	3	Aden	3	11
2018	3	Al Bayda	3	26
2018	3	Al Dhale'e	6	24
2018	3	Al Hudaydah	2	6
2018	3	Al Jawf	1	1
2018	3	Amanat Al Asimah	1	6
2018	3	Marib	2	10
2018	3	Sana'a	3	22
2018	3	NA	7	46
2018	4	Aden	1	2
2018	4	Al Dhale'e	6	68
2018	4	Al Hudaydah	5	27
2018	4	Amanat Al Asimah	1	51
2018	4	Ibb	1	1
2018	4	Lahj	1	5
2018	4	Sa'ada	3	37
2018	4	Sana'a	4	9
2018	4	Shabwah	1	1
2018	4	NA	5	45
2018	5	Al Dhale'e	2	116
2018	5	Al Hudaydah	5	181
2018	5	Amanat Al Asimah	2	10
2018	5	Lahj	1	1
2018	5	Marib	1	5
2018	5	Sana'a	3	4
2018	5	Shabwah	1	3
2018	5	NA	10	157
2018	6	Al Hudaydah	23	678
2018	6	Amran	1	8
2018	6	Ibb	1	3
2018	6	Lahj	1	1
2018	6	Shabwah	1	1
2018	6	NA	7	26
2018	7	Al Dhale'e	2	11
2018	7	Al Hudaydah	16	326
2018	7	Al Jawf	1	5
2018	7	Marib	3	9
2018	7	Sa'ada	1	1
2018	7	Sana'a	4	20
2018	7	Shabwah	3	16
2018	7	NA	4	162
2018	8	Aden	2	2
2018	8	Al Hudaydah	4	178
2018	8	Al Jawf	1	10
2018	8	Marib	3	3
2018	8	Sa'ada	5	73
2018	8	Sana'a	4	41
2018	8	NA	6	70
2018	9	Al Hudaydah	13	271
2018	9	Sana'a	2	35
2018	9	Shabwah	2	3
2018	9	NA	5	10
2018	10	Al Hudaydah	16	386
2018	10	Amanat Al Asimah	1	1
2018	10	Sa'ada	1	2
2018	10	Sana'a	2	2
2018	10	NA	3	3
2018	11	Aden	1	1
2018	11	Al Bayda	1	2
2018	11	Al Dhale'e	1	1
2018	11	Al Hudaydah	25	690
2018	11	Sana'a	3	30
2018	11	NA	2	7
2018	12	Al Hudaydah	7	65
2018	12	Marib	2	97
2018	12	Sana'a	4	6
2018	12	NA	6	11
2019	1	Al Dhale'e	5	18
2019	1	Al Hudaydah	3	3
2019	1	Amanat Al Asimah	1	2
2019	1	Lahj	1	7
2019	1	Marib	2	3
2019	1	Sa'ada	2	11
2019	1	Sana'a	3	3
2019	1	Shabwah	1	7
2019	1	NA	1	8
2019	2	Al Bayda	2	2
2019	2	Al Dhale'e	4	9
2019	2	Al Hudaydah	1	8
2019	2	Sa'ada	4	29
2019	2	Sana'a	4	10
2019	2	NA	6	35
2019	3	Al Hudaydah	5	15
2019	3	Al Jawf	1	8
2019	3	Sa'ada	4	257
2019	3	Sana'a	4	20
2019	3	NA	2	10
2019	4	Al Bayda	1	4
2019	4	Al Dhale'e	4	19
2019	4	Al Hudaydah	1	3
2019	4	Amanat Al Asimah	1	14
2019	4	Marib	1	2
2019	4	NA	5	218
2019	5	Al Dhale'e	1	12
2019	5	Al Hudaydah	1	3
2019	5	Amanat Al Asimah	1	6
2019	5	Marib	1	4
2019	5	Sa'ada	1	1
2019	5	Sana'a	5	13
2019	5	NA	8	243
2019	6	Al Bayda	1	7
2019	6	Al Dhale'e	3	11
2019	6	Sa'ada	2	2
2019	6	Sana'a	3	14
2019	6	NA	3	4
2019	7	Al Dhale'e	1	1
2019	7	Al Hudaydah	2	13
2019	7	Al Jawf	1	1
2019	7	Dhamar	1	1
2019	7	Sa'ada	1	3
2019	7	Sana'a	1	1
2019	7	NA	5	61
2019	8	Aden	11	101
2019	8	Al Dhale'e	1	2
2019	8	Al Hudaydah	2	5
2019	8	Sa'ada	1	12
2019	8	Sana'a	4	22
2019	8	Shabwah	2	11
2019	8	NA	8	274
2019	9	Al Dhale'e	2	4
2019	9	Al Hudaydah	1	9
2019	9	Amran	1	5
2019	9	Dhamar	1	156
2019	9	Marib	1	1
2019	9	Sa'ada	2	4
2019	9	Sana'a	3	11
2019	9	NA	3	33
2019	10	Al Dhale'e	2	2
2019	10	Al Hudaydah	2	2
2019	10	Marib	1	2
2019	10	Sana'a	1	1
2019	10	NA	5	122
2019	11	Al Dhale'e	2	14
2019	11	Al Hudaydah	5	39
2019	11	Marib	2	9
2019	11	NA	6	30
2019	12	Aden	1	1
2019	12	Al Hudaydah	1	0
