Country,Market,Commodity,Price Type,Year,Month,Price,Unit,Currency,Data Source
Yemen,Zungubar City,Wheat,Retail,2016,7,143,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2016,8,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2016,9,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2016,10,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2016,11,152,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2016,12,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,1,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,2,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,3,148,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,4,140,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,5,145,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,6,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,7,135,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,8,130,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,9,130,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,10,130,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,11,140,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2017,12,140,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,1,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,2,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,3,150,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,4,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,5,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,6,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,7,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,8,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,9,250,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,10,290,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,11,255,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2018,12,232.5,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,1,225,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,2,235,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,3,250,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,4,235,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,5,235,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,6,222.5,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,7,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,8,210,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,9,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,10,210,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,11,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2019,12,200,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2020,1,220,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2020,2,230,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2020,3,240,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2020,4,245,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2020,5,270,KG,YER,WFP Monitoring
Yemen,Zungubar City,Wheat,Retail,2020,6,270,KG,YER,WFP Monitoring
