year,month,adm0_name,adminstrata,FCS Mean
2018,1,Yemen,Abyan,42.606628
2019,1,Yemen,Abyan,47.743359
2018,1,Yemen,Ad Dali,40.112
2019,1,Yemen,Ad Dali,44.308399
2018,1,Yemen,Aden,54.37923
2018,1,Yemen,Aden,45.10915
2019,1,Yemen,Aden,62.074188
2018,1,Yemen,Al Bayda,42.468769
2019,1,Yemen,Al Bayda,46.501919
2018,1,Yemen,Al Hudaydah,49.403332
2019,1,Yemen,Al Hudaydah,57.521729
2018,1,Yemen,Al Jawf,41.152538
2019,1,Yemen,Al Jawf,52.05727
2018,1,Yemen,Al Maharah,72.014709
2019,1,Yemen,Al Maharah,66.4841
2018,1,Yemen,Al Mahwit,43.88084
2019,1,Yemen,Al Mahwit,55.11657
2018,1,Yemen,Aljanad,40.242111
2018,1,Yemen,Amran,39.019581
2019,1,Yemen,Amran,52.305382
2018,1,Yemen,Azal,41.251598
2018,1,Yemen,Dhamar,40.630249
2019,1,Yemen,Dhamar,49.564018
2018,1,Yemen,Hadramaut,61.915829
2018,1,Yemen,Hadramaut,57.1119
2019,1,Yemen,Hadramaut,54.848679
2018,1,Yemen,Hajjah,41.66547
2019,1,Yemen,Hajjah,50.085979
2018,1,Yemen,Ibb,39.241001
2019,1,Yemen,Ibb,48.014339
2018,1,Yemen,Lahj,42.69939
2019,1,Yemen,Lahj,43.324711
2018,2,Yemen,Yemen,45.042839
2018,2,Yemen,Abyan,43.543011
2018,2,Yemen,Ad Dali,37.224449
2018,2,Yemen,Aden,54.291409
2018,2,Yemen,Al Bayda,42.45977
2018,2,Yemen,Al Hudaydah,52.655399
2018,2,Yemen,Al Jawf,44.819988
2018,2,Yemen,Al Maharah,57.70575
2018,2,Yemen,Al Mahwit,43.993279
2018,2,Yemen,Amran,45.158421
2018,2,Yemen,Dhamar,41.735901
2018,2,Yemen,Hadramaut,55.30629
2018,2,Yemen,Hajjah,40.713261
2018,2,Yemen,Ibb,41.586929
2018,2,Yemen,Lahj,41.313122
2018,2,Yemen,Marib,41.136311
