year,month,adm0_name,adminstrata,rCSI Mean
2018,1,Yemen,Yemen,21.30431
2018,1,Yemen,Abyan,18.18285
2018,1,Yemen,Ad Dali,21.37487
2018,1,Yemen,Aden,14.97399
2018,1,Yemen,Al Bayda,20.5893
2018,1,Yemen,Al Hudaydah,22.50738
2018,1,Yemen,Al Jawf,22.81929
2018,1,Yemen,Al Maharah,9.5939903
2018,1,Yemen,Al Mahwit,23.53997
2018,1,Yemen,Amran,19.53862
2018,1,Yemen,Dhamar,25.16564
2018,1,Yemen,Hadramaut,13.94319
2018,1,Yemen,Hajjah,24.96184
2018,1,Yemen,Ibb,19.55084
2018,1,Yemen,Lahj,14.68397
2018,1,Yemen,Marib,17.9006
2018,1,Yemen,Raymah,20.619949
2018,1,Yemen,Sa'dah,22.06815
2018,1,Yemen,Sana'a,21.098499
2018,1,Yemen,Sana'a City,27.28244
2018,1,Yemen,Shabwah,14.83883
2018,1,Yemen,Taizz,20.07822
2018,1,Yemen,Aden,16.96636
2018,1,Yemen,Aljanad,19.823481
2018,1,Yemen,Azal,22.585649
2018,1,Yemen,Hadramaut,13.95279
2018,1,Yemen,Sana'a City,27.28244
2018,1,Yemen,Sheba,20.798719
2018,1,Yemen,Tahamh,23.18671
2018,2,Yemen,Yemen,20.809521
2018,2,Yemen,Abyan,15.04192
2018,2,Yemen,Ad Dali,19.253691
2018,2,Yemen,Aden,16.040819
2018,2,Yemen,Al Bayda,21.37878
2018,2,Yemen,Al Hudaydah,19.9886
2018,2,Yemen,Al Jawf,20.947321
2018,2,Yemen,Al Maharah,8.6114902
2018,2,Yemen,Al Mahwit,24.331881
2018,2,Yemen,Amran,17.88501
2018,2,Yemen,Dhamar,24.954189
2018,2,Yemen,Hadramaut,13.60302
2018,2,Yemen,Hajjah,25.40279
2018,2,Yemen,Ibb,22.638889
2018,2,Yemen,Lahj,15.85854
2018,2,Yemen,Marib,16.67433
2018,2,Yemen,Raymah,25.356911
2018,2,Yemen,Sa'dah,17.608419
2018,2,Yemen,Sana'a,22.90984
2018,2,Yemen,Sana'a City,24.74781
2018,2,Yemen,Shabwah,14.1586
2018,2,Yemen,Taizz,18.60498
2018,2,Yemen,Aden,16.527161
