id,relid,year,active_year,code_status,type_of_violence,conflict_dset_id,conflict_new_id,conflict_name,dyad_dset_id,dyad_new_id,dyad_name,side_a_dset_id,side_a_new_id,side_a,side_b_dset_id,side_b_new_id,side_b,number_of_sources,source_article,source_office,source_date,source_headline,source_original,where_prec,where_coordinates,where_description,adm_1,adm_2,latitude,longitude,geom_wkt,priogrid_gid,country,country_id,region,event_clarity,date_prec,date_start,date_end,deaths_a,deaths_b,deaths_civilians,deaths_unknown,best_est,high_est,low_est
4,YEM-2010-1-784-46,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"BBC Monitoring Middle East, 2010-10-01, Yemen tightens security measures after Al-Qa'idah attacks///Agence France Presse, 2010-10-09, Qaeda claims Yemen bus ambush, says killed 14",,,,Ministry of Interior,1,Şan‘ā’ city,Şan‘ā’ city (60 m road near Al-Eman University),Amānat al ‘Āşimah governorate,,15.354722,44.206667,POINT (44.206667 15.354722),151649,Yemen (North Yemen),678,Middle East,1,1,9/25/2010,9/25/2010,2,0,0,0,2,2,2
5,YEM-2011-3-678-28,2011,TRUE,Clear,3,123,715,Government of Yemen (North Yemen) - Civilians,123,1182,Government of Yemen (North Yemen) - Civilians,123,123,Government of Yemen (North Yemen),9999,1,Civilians,-1,"Reuters News, 2011-02-20, UPDATE 3-Yemen separatist leader held, 2 die after protests",,,,Medics and witnesses,2,‘Adan town,‘Adan town (a town near ‘Adan town),‘Adan governorate,,12.779444,45.036667,POINT (45.036667 12.779444),148051,Yemen (North Yemen),678,Middle East,1,1,2/19/2011,2/19/2011,0,0,0,0,0,2,0
6,YEM-2011-1-784-30,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-04-16, UPDATE 3-Yemen opposition to meet Gulf ministers over crisis",,,,A local official,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,4/16/2011,4/16/2011,0,0,0,0,0,1,0
7,YEM-2012-1-784-161,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Agence France Presse, 2012-06-04, Suicide car bomber kills four in south Yemen",,,,A member of the Popular Resistance Committees,4,Abyan governorate,Abyan governorate (A checkpoint between Loder and Shaqra),Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,6/4/2012,6/4/2012,4,1,0,0,5,5,5
10,YEM-2012-1-784-254,2012,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Associated Press Newswires, 2012-12-09, Yemen tribal officials say airstrikes, artillery shelling kill 4 al-Qaida militants in Marib /Reuters News, 2012-12-11, Masked gunmen kill intelligence officer in south Yemen",,,,Yemen tribal officials,1,‘Abīdah valley,‘Abīdah valley,Ma'rib governorate,Ma’rib district,15.616667,45.3,POINT (45.3 15.616667),152371,Yemen (North Yemen),678,Middle East,1,1,12/9/2012,12/9/2012,0,4,1,0,5,5,5
13,YEM-2011-1-784-29,2011,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters News, 2011-04-11, Yemen says troops kill 11 al Qaeda militants, BBC Monitoring Middle East, 2011-04-12,  Yemeni agency reports clashes between army, Al-Qa'idah in Abyan, Agence France Presse, 2011-04-16, Yemeni officer hurt in suspected Qaeda attack: reports",,,,Yemeni Defence Ministry,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,4/11/2011,4/11/2011,0,0,0,0,0,13,0
14,YEM-1994-1-375-53.1,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Democratic Republic of Yemen Radio, Aden 1994-06-08/ 1994-06-11 ""SOUTHERN REPORT ON 8TH MAY SAYS SOUTHERN FORCES REPULSE ATTACKS ON ALL FRONTS",,,,Southern Ministry of Defence source,4,Abyan governorate,Abyan front,Abyan governorate,,13.786202,46.141765,POINT (46.1417656 13.7862024),149493,Yemen (North Yemen),678,Middle East,1,1,6/8/1994,6/8/1994,0,0,0,0,0,50,0
16,YEM-1994-1-375-5,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"AFP 1994-02-24/ BBC 1994-02-26 ""JORDANIAN AND OMANI MILITARY OBSERVERS ARRIVING; FURTHER FIGHTING REPORTED",,,,Military statement,4,Abyan governorate,Abyan province,Abyan governorate,,13.786202,46.141765,POINT (46.1417656 13.7862024),149493,Yemen (North Yemen),678,Middle East,2,2,2/21/1994,2/24/1994,0,0,0,10,10,10,10
18,YEM-1994-1-375-21,1994,TRUE,Clear,1,402,402,Yemen (North Yemen): South Yemen,853,853,Government of Yemen (North Yemen) - Democratic Republic of Yemen,123,123,Government of Yemen (North Yemen),353,353,Democratic Republic of Yemen,-1,"Reuters 1994-05-15 ""Hundreds of Chinese flee Yemen, one killed",,,,Xinhua news agency,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.1417656 13.7862024),149493,Yemen (North Yemen),678,Middle East,1,1,5/9/1994,5/9/1994,0,0,0,0,0,1,0
19,YEM-2010-1-784-19,2010,TRUE,Clear,1,230,230,Yemen (North Yemen): Government,459,459,Government of Yemen (North Yemen) - AQAP,123,123,Government of Yemen (North Yemen),881,881,AQAP,-1,"Reuters, 2010-06-13, Yemen security official and 2 soldiers killed in south",,,,Officials and witnesses,4,Abyan governorate,Abyan governorate,Abyan governorate,,13.786202,46.141765,POINT (46.141765 13.786202),149493,Yemen (North Yemen),678,Middle East,1,1,6/12/2010,6/12/2010,1,0,0,0,1,1,1
